COVID-19 Vaccinations in the United States
Date generated: Sat Sep 11 2021 09:10:44 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4992060,N/A,N/A,5206485,N/A,4938709,N/A,2889395,N/A,2737701,N/A,2191835,N/A,2080846,N/A,2922840,1875820,193400,0,220810,1962291,3021605,1779,781184,1212283,198362,6,781061,1101584,198195,6,1993655,N/A,2737701,N/A,0,1882831,0,2889395,202504,0,148780,0,52920,88839,7021,0,383982,0,0,2889222,0,2191772,0,781169,1212256,198341,6,5206260,0,0
Delaware,1500985,154143,194885,1169590,120110,1094460,142102,631364,64.8,592515,76.9,547024,56.2,515577,66.9,831885,603300,65800,0,49670,454920,663925,1075,202344,295230,49034,416,202235,263935,48994,413,498209,64.8,592515,76.9,51.2,466801,60.6,631364,182592,96.7,163432,86.5,67278,86770,9155,229,349768,185155,794567,631197,75.2,546982,65.1,202340,295201,49025,416,1169391,139245,178730
Florida,31152245,145044,180616,25619309,119283,24251813,140608,13983394,65.1,13211504,76.6,11736562,54.6,11163556,64.7,17103165,12354580,1694500,0,1181373,9740790,14613386,83760,4210051,6336626,1164394,25491,4208602,5766671,1162938,25345,10578903,65.1,13211504,76.6,49.3,10007316,58,13983394,4281373,95.2,3733519,83,1819656,1702726,195260,15877,8489967,188778,692682,13975462,74.8,11734896,62.8,4209377,6336410,1163619,25490,25610494,136984,166625
Federated States of Micronesia,80600,77767,99844,68395,65991,67778,83961,42977,41.5,42362,52.5,35527,34.3,35500,44,1800,68600,10200,0,11230,56561,604,0,24766,101,10659,1,24761,100,10638,1,24902,41.5,42362,52.5,24,24896,30.8,42977,3389,19.3,3002,17.1,1995,7,1000,0,5448,31023,458972,42964,48.5,35519,40.1,24765,101,10652,1,68381,77259,91064
Georgia,13790365,129884,169967,10115879,95276,9516996,117298,5601650,52.8,5241142,64.6,4541542,42.8,4301253,53,7459605,5731560,599200,0,264675,4114575,5730220,6409,1797885,2478457,263037,2163,1797196,2239391,262636,2030,4281293,52.8,5241142,64.6,40.3,4041360,49.8,5601650,1305026,86,1133457,74.7,623750,477293,31419,995,2547357,167926,909083,5599499,62.3,4541089,50.5,1797839,2478154,262936,2160,10113427,112520,153429
Guam,226300,136516,175271,221201,133440,199903,154827,120894,72.9,108956,84.4,106142,64,96814,75,132600,74200,19500,0,8597,75421,137174,9,35001,62961,8180,0,34987,53653,8174,0,97976,72.9,108956,84.4,59.1,88654,68.7,120894,15920,56.7,14815,52.7,6188,8157,470,0,30551,108773,805711,120871,85.4,106133,75,35000,62954,8179,0,221170,156235,159859
Hawaii,2202660,155569,197370,1817080,128336,1703456,152639,1065089,75.2,992943,89,794878,56.1,751507,67.3,1247820,873140,81700,0,45489,610996,1066801,93794,265982,464661,46148,18087,265387,422060,45990,18070,748824,75.2,992943,89,52.9,705609,63.2,1065089,276232,99.9,230357,85.8,95846,123704,9395,1412,500223,186339,820516,1061270,87.6,793367,65.5,265932,463247,46112,18076,1812483,149655,181871
Iowa,3993215,126565,164450,3355023,106338,3151790,129798,1796345,56.9,1686112,69.4,1657376,52.5,1566114,64.5,2181075,1623440,188700,0,142390,1359318,1852986,329,652862,864150,140134,230,652682,773141,140062,229,1517695,56.9,1686112,69.4,48.1,1426501,58.7,1796345,503014,91,485643,87.8,255961,216483,13095,104,989385,178927,722160,1796260,67.1,1657349,61.9,652855,864132,140132,230,3354972,125359,149208
Idaho,2075120,116119,154991,1492685,83527,1491666,111413,807491,45.2,805432,60.2,713766,39.9,712535,53.2,1118700,856320,100100,0,62876,620615,807373,1821,282135,368602,62546,483,282114,367415,62525,481,651569,45.2,805432,60.2,36.5,650359,48.6,807491,246334,84.7,230995,79.5,106558,113533,10701,203,480129,165180,713909,0,0,0,0,0,0,0,0,0,0,0
Indian Health Svc,2021845,97073,N/A,1595047,76581,1465384,N/A,884372,42.5,810820,N/A,727985,35,672020,N/A,954165,992980,74700,0,30957,809806,754284,0,358847,338312,30826,0,358563,282686,30771,0,697260,42.5,810820,N/A,33.5,641346,0,884372,153996,0,129567,0,73489,53039,3039,0,285762,0,0,883966,0,727815,0,358773,338237,30805,0,1594456,0,0
Illinois,17229105,135964,174845,14878537,117414,13782828,139871,8480024,66.9,7841379,79.6,6588930,52,6140533,62.3,9754905,6623500,850700,0,537871,5489956,8832726,17984,2346493,3710411,526224,5802,2340007,3271017,523788,5721,6064865,66.9,7841379,79.6,47.9,5618887,57,8480024,1923475,94.1,1580198,77.3,717482,786480,73493,2743,3529899,172761,843228,8454068,78,6574371,60.7,2346449,3695924,526196,5802,14837238,136903,158972
Indiana,7908610,117474,153142,6512338,96734,6137557,118847,3422864,50.8,3220661,62.4,3157216,46.9,2990879,57.9,4391430,3089680,427500,0,246767,2451469,3790608,23494,1148463,1759001,242662,7090,1148201,1593211,242442,7025,2916412,50.8,3220661,62.4,43.3,2750267,53.3,3422864,930683,85.7,901884,83.1,444443,425835,28087,3519,1881620,173303,728405,3422503,60,3157075,55.3,1148449,1758894,242642,7090,6511904,114143,138625
Kansas,3669295,125949,165802,2975922,102149,2782019,125709,1699286,58.3,1586011,71.7,1435971,49.3,1349482,61,1967235,1528560,173500,0,103966,1201055,1669940,961,557413,775758,102441,359,557116,689686,102347,333,1334041,58.3,1586011,71.7,45.8,1247642,56.4,1699286,458917,96.5,396508,83.4,190392,189194,16750,172,832074,174994,771692,1699156,69.3,1435948,58.6,557406,775749,102434,359,2975789,121377,149663
Kentucky,5422615,121374,156506,4685300,104871,4416296,127462,2612802,58.5,2459196,71,2222756,49.8,2107551,60.8,2766015,2390100,266500,0,193710,1980207,2510655,728,895594,1135177,190933,1052,895392,1020322,190815,1022,2032557,58.5,2459196,71,45.5,1917468,55.3,2612802,683291,91,616957,82.2,281511,297473,37405,568,1269024,169076,722472,2612410,68.6,2222687,58.4,895582,1135150,190905,1050,4684172,123068,142469
Louisiana,5440340,117027,152769,4312857,92774,4094469,114976,2340986,50.4,2212877,62.1,1995609,42.9,1906619,53.5,2871780,2330460,238100,0,153772,1836161,2321583,1341,820304,1028191,146499,615,819888,939774,146349,608,1849763,50.4,2212877,62.1,39.8,1760920,49.4,2340986,636887,85.9,600475,81,285336,294104,20896,139,1261330,170215,734167,2340718,59.7,1995514,50.9,820284,1028137,146478,615,4312521,109920,138667
Massachusetts,10634070,154285,191961,9581708,139016,8894342,160556,5243987,76.1,4866542,87.8,4594215,66.7,4282070,77.3,5860110,4329260,444700,0,326910,3739618,5514961,219,1715773,2549794,328538,110,1710490,2244152,327333,95,4267122,76.1,4866542,87.8,61.9,3956173,71.4,5243987,1156995,98.9,1031712,88.2,468113,495461,68101,37,2141358,183127,909414,5227210,86.9,4582743,76.2,1715765,2538337,328531,110,9553200,158777,176741
Maryland,9622770,159168,204262,7726871,127808,7145172,151670,4176095,69.1,3861356,82,3774745,62.4,3511348,74.5,5478930,3703440,440400,0,291785,2894314,4530593,10179,1357900,2128111,285901,2833,1357495,1865413,285708,2732,3492052,69.1,3861356,82,57.8,3228815,68.5,4176095,913204,95.2,860350,89.7,408353,399082,52138,777,1742560,181631,1003000,4175537,80.9,3774556,73.1,1357863,2127991,285870,2832,7726355,149652,186384
Maine,2058530,153140,187930,1768306,131550,1662628,151787,974099,72.5,918432,83.8,895629,66.6,846946,77.3,1072710,882720,103100,0,114408,726098,926973,827,344069,438456,112896,208,344014,389915,112828,189,783133,72.5,918432,83.8,58.3,734511,67.1,974099,278670,97.7,264430,92.7,120779,120990,22575,86,526825,184679,721620,973994,82.2,895595,75.6,344063,438448,112876,208,1768191,149222,173725
Marshall Islands,51300,87823,112755,39047,66846,38942,85592,21731,37.2,21652,47.6,19026,32.6,18987,41.7,0,40500,10800,0,1798,37249,0,0,17225,11,1790,0,17196,9,1782,0,17240,37.2,21652,47.6,29.5,17209,37.8,21731,1245,12.6,1079,10.9,992,0,87,0,2239,22623,518339,21709,43.5,19016,38.1,17217,11,1788,0,39017,78215,102839
Michigan,13113390,131306,167200,10310263,103238,9724056,123985,5567113,55.7,5251567,67,5099127,51.1,4830697,61.6,6970350,5491240,651800,0,361012,4092946,5854754,1551,1956012,2774960,367308,847,1955409,2507446,367043,799,4733082,55.7,5251567,67,47.4,4464888,56.9,5567113,1544198,87.5,1465925,83,731930,667601,65887,507,2954067,167331,742800,5566711,64.8,5099019,59.3,1955991,2774889,367293,846,10309810,119951,152570
Minnesota,7489670,132804,172713,6480281,114906,6007284,138529,3523420,62.5,3272644,75.5,3202101,56.8,2981732,68.8,4218450,2921920,349300,0,289068,2445245,3744153,1815,1148064,1763585,289842,610,1145990,1545835,289317,590,2913405,62.5,3272644,75.5,51.7,2693551,62.1,3523420,867164,94.2,816712,88.7,343906,424960,47709,137,1650000,179273,813757,3512274,73.5,3194029,66.8,1148052,1755546,289821,610,6460803,135217,156750
Missouri,7549235,123003,158370,6065983,98836,5714550,119881,3282054,53.5,3088647,64.8,2828746,46.1,2678075,56.2,4214115,3023720,311400,0,200666,2226627,3637919,771,1013047,1613126,202373,200,1012730,1463020,202156,169,2627482,53.5,3088647,64.8,42.8,2477009,52,3282054,905557,85.3,822280,77.4,375852,409582,36774,72,1746285,164428,710826,3281673,62.7,2828687,54,1013037,1613095,202355,200,6065592,115850,144187
Northern Mariana Islands,82590,145195,186417,68215,119924,59985,135394,35276,62,30945,69.8,33214,58.4,29312,66.2,59790,20200,2600,0,750,9232,58233,0,4234,28227,753,0,4233,24326,753,0,32463,62,30945,69.8,57.1,28561,64.5,35276,2900,30.1,2830,29.4,451,2293,86,0,5789,60064,856921,35276,72.6,33214,68.4,4234,28227,753,0,68215,140429,170022
Mississippi,3628315,121913,159307,2611136,87735,2468126,108367,1434177,48.2,1348879,59.2,1199679,40.3,1141170,50.1,1949595,1514120,164600,0,71198,1088811,1449789,1338,486427,642431,70571,250,486199,584239,70492,240,1129604,48.2,1348879,59.2,38,1071174,47,1434177,404216,83.1,371176,76.3,190568,164101,16398,109,779289,160119,745504,1433970,56.9,1199613,47.6,486417,642385,70561,250,2610887,103548,143899
Montana,1275375,119330,151796,1047446,98004,992108,118081,568052,53.1,537165,63.9,501974,47,478170,56.9,647955,557820,69600,0,45126,454615,546902,803,209351,248343,44036,244,209259,224675,43994,242,458269,53.1,537165,63.9,42.9,434503,51.7,568052,177051,85.8,164602,79.7,79212,76336,8917,137,338515,163980,617803,567920,61.9,501935,54.7,209333,248327,44031,244,1047267,114131,138991
North Carolina,13716300,130780,167530,10771767,102705,10100148,123363,6000017,57.2,5620516,68.6,4990884,47.6,4705555,57.5,7525860,5543940,646500,0,402112,4114017,6255170,468,1826616,2769015,395170,83,1823817,2487830,393827,81,4596215,57.2,5620516,68.6,43.8,4312223,52.7,6000017,1546741,88.3,1382929,79,664832,672788,45270,39,2954522,168724,783299,5991205,66.7,4985591,55.5,1826523,2763837,395148,83,10757643,119722,152649
North Dakota,870130,114181,149535,713098,93575,676369,116236,375684,49.3,356163,61.2,323691,42.5,308915,53.1,482790,350840,36500,0,31397,290675,390972,54,129060,166152,28478,1,128867,151698,28349,1,295257,49.3,356163,61.2,38.7,280609,48.2,375684,102737,85.7,91221,76.1,44920,42558,3743,0,199878,166780,726046,375070,58.9,323344,50.7,129055,165813,28475,1,712057,111740,136545
Nebraska,2442850,126284,167510,2102852,108708,1958264,134281,1126177,58.2,1047941,71.9,1025995,53,960069,65.8,1391190,943560,108100,0,77010,797675,1223845,4322,376047,571644,77110,1194,375905,505974,77041,1149,949362,58.2,1047941,71.9,49.1,883501,60.6,1126177,284040,90.9,272614,87.2,133071,132455,6327,761,569206,182170,781817,1125910,69.6,1025917,63.4,376028,571604,77093,1192,2102510,129993,151035
New Hampshire,2063870,151787,186867,1708632,125661,1597482,144639,924288,68,868573,78.6,821161,60.4,776015,70.3,1122750,824420,116700,0,78205,681872,948525,30,320239,433867,67011,44,319990,389027,66957,41,754312,68,868573,78.6,55.5,709219,64.2,924288,246042,96.9,223077,87.9,93997,114954,14105,21,448794,176785,812983,923779,77.1,820953,68.5,320138,433785,66986,44,1707943,142499,172195
New Jersey,13376565,150600,192646,11204434,126145,10408267,149897,6302197,71,5858658,84.4,5551806,62.5,5191818,74.8,7456545,5313720,606300,0,428912,4375717,6399775,30,2059201,3057792,434677,136,2058651,2698635,434408,124,5118405,71,5858658,84.4,57.6,4758678,68.5,6302197,1382447,93.7,1263175,85.6,590647,588278,84212,38,2547290,172635,906557,6301384,82.7,5551630,72.9,2059169,3057708,434617,136,11203593,147060,175583
New Mexico,2799285,133501,172690,2691047,128339,2491576,153707,1487207,70.9,1372412,84.7,1280011,61,1188036,73.3,1457265,1203520,138500,0,96307,1145841,1443655,5244,514750,668770,94941,1550,514376,577334,94794,1532,1185644,70.9,1372412,84.7,56.5,1093807,67.5,1487207,369197,97.8,334055,88.5,154829,158921,19475,830,690898,182968,741324,1486912,83.2,1279928,71.6,514732,668717,94929,1550,2690718,150535,156609
Nevada,3811940,123758,159661,3270809,106190,3071008,128628,1816106,59,1700765,71.2,1505304,48.9,1424060,59.6,2200500,1427140,184300,0,147006,1190366,1933414,23,538193,822494,144586,31,538098,741387,144545,30,1360954,59,1700765,71.2,44.2,1279750,53.6,1816106,428787,86.5,380047,76.6,178566,178004,23459,18,810672,163451,768580,1816014,69.3,1505266,57.4,538189,822463,144583,31,3270761,124752,145394
New York State,28054055,144210,181871,24897609,127985,23372115,151518,13374579,68.8,12535805,81.3,11945408,61.4,11256648,73,15811335,10988820,1253900,0,1085605,9468220,14335399,8385,4381769,6529324,1032162,2153,4380079,5843043,1031474,2052,10916365,68.8,12535805,81.3,56.1,10228266,66.3,13374579,2970485,90.1,2736184,83,1301908,1264254,169089,933,5679557,172309,851117,13372926,79.7,11944712,71.2,4381605,6528933,1032035,2139,24895322,148423,167255
Ohio,14274175,122115,156668,11799002,100940,11150726,122386,6212041,53.1,5864987,64.4,5733626,49.1,5439676,59.7,7679535,5939140,655500,0,489238,4658278,6634467,17019,2168055,3087699,472977,4895,2167617,2794507,472750,4802,5263295,53.1,5864987,64.4,45,4969555,54.5,6212041,1768388,86.4,1692385,82.7,769210,836017,84702,2456,3487377,170422,697553,6211704,62.1,5733534,57.3,2168041,3087641,472957,4895,11798656,117978,142732
Oklahoma,4831440,122099,160794,3948041,99774,3714031,123606,2161806,54.6,2028114,67.5,1788373,45.2,1690324,56.3,2499720,2109420,222300,0,116693,1667576,2163564,208,729615,943478,115192,88,729391,845740,115115,78,1673656,54.6,2028114,67.5,42.3,1575682,52.4,2161806,569980,89.7,500203,78.8,256121,225335,18723,24,1081928,170347,760699,2161588,65,1788313,53.8,729600,943447,115178,88,3947792,118723,145297
Oregon,6387675,151448,190610,5062276,120024,4730583,141162,2744164,65.1,2563716,76.5,2485525,58.9,2334924,69.7,3462735,2614740,310200,0,209234,1932904,2916612,3526,907455,1371212,206069,789,904674,1224224,205279,747,2280558,65.1,2563716,76.5,54.1,2130740,63.6,2744164,689832,90,652820,85.2,295835,307903,48727,355,1305929,170469,833813,2736104,75,2479794,68,907451,1365492,206066,785,5048262,138393,175112
Pennsylvania,18342685,143280,180407,15676313,122452,14759935,145170,9015443,70.4,8487001,83.5,7180058,56.1,6800126,66.9,9544365,7730620,1067700,0,629475,6305991,8740137,710,2746494,3801419,631704,441,2744305,3424137,631271,413,6549660,70.4,8487001,83.5,51.2,6170144,60.7,9015443,2564163,99.9,2072712,86.6,978029,1010081,84391,211,4613257,192752,766398,9011905,81.3,7178523,64.8,2746353,3800084,631645,441,15671291,141418,165525
Puerto Rico,4403150,137870,167997,4397647,137698,4063250,155029,2445590,76.6,2256021,86.1,2086690,65.3,1938842,74,2222250,1990900,190000,0,126095,1797287,2473896,369,827476,1133516,125650,48,827107,986199,125489,47,1961226,76.6,2256021,86.1,61.4,1813539,69.2,2445590,597587,99.9,529640,97.6,265705,242195,21731,9,1107840,204049,811001,2444384,85.8,2086339,73.2,827421,1133267,125603,48,4396138,154343,154589
Rhode Island,1657425,156455,193881,1415856,133652,1323416,154810,772515,72.9,721352,84.4,697892,65.9,654771,76.6,918945,676880,61600,0,51325,543477,820418,636,257041,389158,51549,144,256970,346130,51529,142,646602,72.9,721352,84.4,61,603501,70.6,772515,184647,98.7,174815,93.5,79544,89078,6147,46,358162,191483,886106,772391,83.3,697848,75.2,257037,389120,51548,143,1415749,152643,178700
Republic of Palau,29820,166527,213809,29736,166058,27350,196100,17311,96.7,16007,99.9,14970,83.6,13883,99.5,5220,20800,3800,0,2297,23828,3611,0,11446,1223,2301,0,11446,136,2301,0,12670,96.7,16007,99.9,70.8,11583,83.1,17311,1773,58.4,1695,55.9,1456,12,227,0,3194,105274,982861,17311,99.9,14970,97.9,11446,1223,2301,0,29736,194455,195004
South Carolina,6525975,126750,161633,4966322,96458,4707842,116602,2727671,53,2576935,63.8,2297072,44.6,2187486,54.2,3406755,2805920,313300,0,174902,1961773,2828545,1102,857861,1266970,171977,264,855960,1159865,171399,262,2125788,53,2576935,63.8,41.3,2016779,50,2727671,834995,89.1,743066,79.3,316761,398169,27968,168,1585357,169191,696458,2722734,61.6,2294216,51.9,857775,1264244,171933,264,4958455,112183,147647
South Dakota,1116795,126240,167296,921523,104167,865281,129619,507403,57.4,474557,71.1,442795,50.1,419828,62.9,571455,485940,59400,0,31254,381171,509022,76,180096,231397,31282,20,180042,208505,31261,20,411579,57.4,474557,71.1,46.5,388633,58.2,507403,143222,94.3,133408,87.8,68410,60718,4267,13,270132,177869,735358,507354,68.7,442783,60,180094,231389,31280,20,921477,124844,151307
Tennessee,8128250,119022,152812,6520567,95481,6206093,116675,3474502,50.9,3294338,61.9,2939418,43,2811038,52.8,4500450,3260000,367800,0,201952,2536639,3755645,26331,1102112,1635138,195118,7050,1101685,1507447,194917,6989,2746031,50.9,3294338,61.9,40.2,2617847,49.2,3474502,964602,84.4,874939,76.5,436623,402132,32289,3895,1931970,168968,710889,3473810,59.5,2939259,50.4,1102095,1635038,195076,7050,6519758,111724,139288
Texas,40165715,138522,185986,30947220,106730,28521811,132069,16858809,58.1,15467958,71.6,14133417,48.7,13004377,60.2,22557075,15714040,1894600,0,1210976,11953690,17781709,845,5270055,7685690,1176902,770,4849060,7071723,1082886,708,12963371,58.1,15467958,71.6,44.7,12027416,55.7,16858809,3290840,88.1,2939751,78.7,1096171,1598624,244796,160,6393406,171211,1075610,16853752,69.9,14130591,58.6,5269001,7684153,1176667,770,30941132,128381,166655
